index,field,ccdid,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,diffimgstatus,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,flux_uncertainty_correction,flux_baseline_correction,apparent_mag,apparent_magerr,MJD,COIN_FIT_DETECTION
0,787,9,0,ZTF_g,1917422913215,4194304,1.7958,136.152,6.57771,26.1919,3.27733e-05,0.0383253,-0.102892,4.43336e-05,308,30.0,0.128581,0.082411,17.4781,26.1919,1,2459671.9229167,787120132,1,6.99137039338531,15.9990110903345,0.486098155020776,2.62687387243774,-39.2514320887771,28.6520501345914,-1.37916109167055,1.08051911468951,0.438649327263071,18.9789998054504,0.0759999975562096,5.01700019836426,0.462999999523163,2458166.884375,2458276.724259,0,18.54099546891902,11.3472603303151,23.554672453456803,1.77399285771444,59671.42291670013,False
5,787,9,0,ZTF_g,1922325273215,4194304,3.3411,114.835,5.39491,26.1759,4.64401e-05,0.0438236,-0.0561351,7.40273e-05,261,30.0,0.143229,0.09712,20.1334,26.1759,1,2459676.8252778,787120132,1,6.35535741791558,35.7937626720584,0.197509244004497,1.1630357666928,-20.7755211631625,50.6353886350387,-0.413059839320381,1.13426016961318,0.438649327263071,18.9789998054504,0.0759999975562096,5.01700019836426,0.462999999523163,2458166.884375,2458276.724259,0,41.48081326846073,10.71124735484537,23.601299878526632,4.204526090530001,59676.325277800206,False
10,787,9,0,ZTF_g,1924325833215,4194304,1.8006,115.628,7.63355,26.2126,3.13066e-05,0.0374225,-0.0728556,4.33695e-05,301,30.0,0.091922,0.078688,20.351,26.2126,1,2459678.8258333,787120132,1,21.1414687565618,33.1435629723712,0.709562676117085,1.27129064674286,-11.4744600114389,63.6688530971558,-0.181434729822611,1.06999309278007,0.438649327263071,18.9789998054504,0.0759999975562096,5.01700019836426,0.462999999523163,2458166.884375,2458276.724259,0,38.409539653723606,25.49735869349159,22.6963620159989,1.6355120427706225,59678.32583330013,False
14,787,9,0,ZTF_g,1929287513215,4194304,3.5405,157.25,16.849,26.2497,4.84199e-05,0.0381209,-0.0324552,9.43597e-05,181,30.0,0.113941,0.100568,17.2892,26.2497,1,2459683.7875116,787120132,1,85.3267234529777,212.937195851789,0.445746908252389,1.08297416187011,25.4365211319298,351.112932061033,0.0729333363340485,1.09821201925604,0.438649327263071,18.9789998054504,0.0759999975562096,5.01700019836426,0.462999999523163,2458166.884375,2458276.724259,0,246.76947601077,89.68261338990749,21.367929361751965,2.9873975565373456,59683.28751160018,False
21,787,9,0,ZTF_g,1931331483215,4194304,2.2562,162.094,20.0751,26.2734,4.98816e-05,0.0399984,-0.0530771,9.28207e-05,190,30.0,0.098273,0.089857,17.5182,26.2734,1,2459685.8314815,787120132,1,90.6067813146608,91.956020819461,1.09606253731444,0.971048610044329,72.6327302399446,162.46345830935,0.450082231524304,1.08369943330673,0.438649327263071,18.9789998054504,0.0759999975562096,5.01700019836426,0.462999999523163,2458166.884375,2458276.724259,0,106.5663468652426,94.96267125159058,21.32951769349748,1.2183638188216614,59685.33148150006,False
34,787,9,0,ZTF_g,1940361283215,4194304,2.6491,116.607,8.49273,26.017,3.58941e-05,0.0382461,-0.045977,5.82878e-05,250,30.0,0.117272,0.082145,17.4238,26.017,1,2459694.8612847,787120132,1,7.30229449097783,70.5766887090136,0.115094048288734,0.956882092300701,47.9513282580066,123.327837758231,0.391430548773062,1.08442159917198,0.438649327263071,18.9789998054504,0.0759999975562096,5.01700019836426,0.462999999523163,2458166.884375,2458276.724259,0,81.7901842918074,11.65818442790762,23.350422696484426,7.616932433582441,59694.36128470022,False
68,787,9,0,ZTF_g,1961241643215,4194304,1.9985,301.131,13.5687,26.2471,3.06558e-05,0.0343387,-0.0373432,5.36686e-05,225,30.0,0.09008,0.08482,17.4518,26.2471,1,2459715.7416435,787120132,1,50.6082011248778,54.3527579509566,1.03574802967698,0.976587922843064,-17.0840924514361,95.6911044055041,-0.179736192866418,1.09173403932163,0.438649327263071,18.9789998054504,0.0759999975562096,5.01700019836426,0.462999999523163,2458166.884375,2458276.724259,0,62.98853305381821,54.96409106180759,21.896902373848505,1.2442059718522236,59715.24164350005,False
73,787,9,0,ZTF_g,1968262253215,4194304,2.3171,113.569,5.70538,26.1609,3.116e-05,0.0374204,-0.0696322,4.276e-05,301,30.0,0.126155,0.081385,20.4203,26.1609,1,2459722.7622569,787120132,1,29.7298595546024,30.4826298957884,1.08491378030876,1.4096345844673,90.8079788064699,52.0767544711732,1.75547759641905,1.09570368530395,0.438649327263071,18.9789998054504,0.0759999975562096,5.01700019836426,0.462999999523163,2458166.884375,2458276.724259,0,35.32582730191306,34.08574949153219,22.32946788028542,1.125198984144825,59722.26225689985,False
82,787,9,0,ZTF_g,1977199023215,4194304,3.0033,117.332,5.83108,26.2067,3.51891e-05,0.0392596,-0.0678174,4.88929e-05,293,30.0,0.121075,0.092732,20.337,26.2067,1,2459731.6990278,787120132,1,8.66970850313412,35.5001024529466,0.271662498331522,1.0989592621748,34.8595683168286,57.8691109674721,0.606443557337711,1.10612692967418,0.438649327263071,18.9789998054504,0.0759999975562096,5.01700019836426,0.462999999523163,2458166.884375,2458276.724259,0,41.14049518497349,13.02559844006391,23.419705786530386,3.4291119773001824,59731.1990278,False
101,787,9,0,ZTF_g,2015182363215,4194304,2.1711,286.387,12.8032,26.1944,3.12037e-05,0.0349437,-0.0423651,5.48868e-05,234,30.0,0.099547,0.081765,17.4965,26.1944,2,2459769.6823611,787120132,1,9.06585287610762,54.8310671335262,0.183923308104725,1.09233147057335,-15.8098165820573,97.1629942568436,-0.163810272913988,1.08675482685718,0.438649327263071,18.9789998054504,0.0759999975562096,5.01700019836426,0.462999999523163,2458166.884375,2458276.724259,0,63.54283783782594,13.42174281303741,23.374877718438867,5.140052227309456,59769.18236109987,False
103,787,9,0,ZTF_g,2015184243215,4194304,1.9314,113.607,11.5661,26.1735,3.5679e-05,0.0387847,-0.0335958,5.95446e-05,253,30.0,0.100887,0.078645,19.7453,26.1735,2,2459769.6842477,787120132,1,10.3839744121238,53.6901784679471,0.215141188173895,1.22551163500017,47.9579749266925,96.7353926559881,0.499103516525528,1.08719678765037,0.438649327263071,18.9789998054504,0.0759999975562096,5.01700019836426,0.462999999523163,2458166.884375,2458276.724259,0,62.22068039574364,14.73986434905359,23.252266283174876,4.583013188313113,59769.18424770003,False
104,787,9,0,ZTF_g,2015185183215,4194304,2.0027,113.461,11.627,26.1713,3.83134e-05,0.0395907,-0.0310849,6.48599e-05,239,30.0,0.094916,0.072671,19.7132,26.1713,2,2459769.6851852,787120132,1,41.2273342617879,56.3228353177015,0.814245835974402,1.15604157123164,95.0076102173629,100.415666699851,0.952515629103254,1.09198373945295,0.438649327263071,18.9789998054504,0.0759999975562096,5.01700019836426,0.462999999523163,2458166.884375,2458276.724259,0,65.27162388511991,45.583224198717694,22.024287398734373,1.5546377707540093,59769.18518520007,False
105,787,9,0,ZTF_g,2015186133215,4194304,2.1102,113.068,11.5506,26.1678,3.39681e-05,0.0369933,-0.0211502,5.81824e-05,239,30.0,0.104308,0.08211,19.6619,26.1678,2,2459769.6861343,787120132,1,74.5030061109053,59.662689139191,1.3890752501148,1.05058455479386,55.8138525085781,103.931689945287,0.540641281268963,1.09180556873432,0.438649327263071,18.9789998054504,0.0759999975562096,5.01700019836426,0.462999999523163,2458166.884375,2458276.724259,0,69.14212651940456,78.85889604783509,21.425673267360935,0.9519231250280528,59769.186134300195,False
